arquivo_origem;ano_origem;tipo_base;Exercício: 2019;;;;;;;;
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;% da DC sobre a RCL (I/RCL);siconfi-cor_PercentualDaDCSobreARCL;7
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);siconfi-cor_PercentualDaDCLSobreARCL;-72.81
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL;siconfi-cor_LimiteDefinidoPorResolucaoDoSenadoFederal;1385873033.06
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF);siconfi-cor_LimiteDeAlerta;1247285729.76
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;Precatórios Posteriores a 05/05/2000 (Não incluídos na DC);siconfi-cor_PrecatoriosAPartirDe05052000;1970382.13
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;Passivo Atuarial;siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial;598974605.41
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;Depósitos e Consignações Sem Contrapartida;siconfi-cor_Depositos;10027844.09
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 2º Quadrimestre;RP Não-Processados;siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores;89996880.3
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;DÍVIDA CONSOLIDADA - DC (I);siconfi-cor_DividaConsolidada;73199389.26
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;Dívida Contratual;siconfi-cor_DividaContratual;73199389.26
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;Empréstimos;siconfi-cor_RGF2Emprestimos;59746752.65
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;Internos;siconfi-cor_RGF2EmprestimosInternos;59746752.65
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;Financiamentos;siconfi-cor_RGF2Financiamentos;4412885.9
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;Internos;siconfi-cor_RGF2FinanciamentosInternos;4412885.9
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;Parcelamento e Renegociação de Dívidas;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas;9039750.71
